target_hhi,measured_target_hhi,sim,initial_hhi,initial_one_minus_hhi,initial_gini,initial_max_share,final_hhi,final_one_minus_hhi,final_gini,final_max_share,rounds,frozen,active_density,cluster_count,largest_cluster_fraction,interface_length,max_wealth
0.45,0.41472808249600007,3,0.41472808249600007,0.585271917504,0.6474419376,0.643984,0.4148120270080001,0.585187972992,0.9188207736,0.64402,1000,False,0.3108,2542,0.0022522522522522522,11153,161005
0.45,0.414728082496,4,0.414728082496,0.585271917504,0.6474419376,0.643984,0.414616772832,0.585383227168,0.9196464024,0.643868,1000,False,0.3041,2489,0.0026307135810588623,10921,160967
0.45,0.41472808249600007,5,0.41472808249600007,0.585271917504,0.6474419376,0.643984,0.41482246448000004,0.58517753552,0.9191134608,0.644028,1000,False,0.3071,2536,0.0022793878215564964,11081,161007
0.45,0.414728082496,6,0.414728082496,0.585271917504,0.6474419376,0.643984,0.41484354175999993,0.5851564582400001,0.9198558080000001,0.644044,1000,False,0.3062,2513,0.002612671456564337,11018,161011
0.45,0.41472808249600007,7,0.41472808249600007,0.585271917504,0.6474419376,0.643984,0.4146371767680001,0.5853628232319998,0.9193081383999999,0.643884,1000,False,0.3082,2544,0.0029201817001946787,11120,160971
0.45,0.414728082496,8,0.414728082496,0.585271917504,0.6474419376,0.643984,0.414631561664,0.585368438336,0.9185173903999999,0.64388,1000,False,0.3096,2517,0.0022609819121447027,11085,160970
0.45,0.414728082496,9,0.414728082496,0.585271917504,0.6474419376,0.643984,0.41485409603199996,0.585145903968,0.9202831495999999,0.644052,1000,False,0.3051,2471,0.0022943297279580466,10908,161013
0.49,0.4515947851520001,0,0.4515947851520001,0.5484052148479999,0.6783183712,0.672,0.451672015136,0.5483279848639999,0.929087524,0.672032,1000,False,0.293,2517,0.0020477815699658703,10761,168008
0.49,0.4515947851520001,1,0.4515947851520001,0.5484052148479999,0.6783183712,0.672,0.45157506086399996,0.5484249391360001,0.9286210096,0.67196,1000,False,0.2952,2538,0.0020325203252032522,10841,167990
0.49,0.4515947851520001,2,0.4515947851520001,0.5484052148479999,0.6783183712,0.672,0.451779214272,0.5482207857279999,0.9287649384000001,0.672112,1000,False,0.2937,2530,0.0020429009193054137,10801,168028
0.49,0.4515947851520001,3,0.4515947851520001,0.5484052148479999,0.6783183712,0.672,0.4517424799039999,0.548257520096,0.9299905744000001,0.672084,1000,False,0.29,2505,0.0020689655172413794,10679,168021
0.49,0.4515947851520001,4,0.4515947851520001,0.5484052148479999,0.6783183712,0.672,0.4517261507840001,0.548273849216,0.9297864952000001,0.672072,1000,False,0.2908,2504,0.0020632737276478678,10699,168018
0.49,0.4515947851520001,5,0.4515947851520001,0.5484052148479999,0.6783183712,0.672,0.451423760704,0.5485762392960001,0.9273774544,0.671848,1000,False,0.2993,2555,0.0023387905111927833,10966,167962
0.49,0.451594785152,6,0.451594785152,0.548405214848,0.6783183712,0.672,0.45138601468799994,0.548613985312,0.927443652,0.67182,1000,False,0.2954,2530,0.002369668246445498,10846,167955
0.49,0.4515947851520001,7,0.4515947851520001,0.5484052148479999,0.6783183712,0.672,0.451821564736,0.548178435264,0.9275226744,0.672144,1000,False,0.2999,2540,0.0016672224074691564,10954,168036
