p,sim,local_edges,nonlocal_edges,mean_degree,rounds,absorbed,frozen,capped,local_matches,nonlocal_matches,realized_nonlocal_match_fraction,final_active_density,final_cluster_count,final_largest_cluster_fraction,final_interface_length,winner_site
0.27999999999999997,1,19800,2908,4.5416,15167,False,True,False,1990113,277015,0.1221876312232922,0.2421,2421,0.0004130524576621231,9564,-1
0.27999999999999997,2,19800,2870,4.534,33597,False,True,False,1983894,291185,0.12798896214153443,0.2449,2449,0.0004083299305839118,9683,-1
0.27999999999999997,3,19800,2770,4.514,29032,False,True,False,2016956,227230,0.1012527482124922,0.2419,2419,0.00041339396444811904,9555,-1
0.27999999999999997,4,19800,2785,4.517,57251,False,True,False,1979652,304113,0.13316300057142483,0.2424,2424,0.00041254125412541255,9590,-1
0.27999999999999997,5,19800,2801,4.5202,26939,False,True,False,2034618,305272,0.13046425259307062,0.2351,2351,0.0004253509145044662,9287,-1
0.27999999999999997,6,19800,2845,4.529,23013,False,True,False,2011537,248265,0.10986139493637054,0.2413,2413,0.0004144218814753419,9537,-1
0.27999999999999997,7,19800,2769,4.5138,32162,False,True,False,2068137,319065,0.13365647314303525,0.2363,2363,0.00042319085907744394,9336,-1
0.27999999999999997,8,19800,2808,4.5216,20118,False,True,False,1907124,270360,0.12416164711198796,0.242,2420,0.00041322314049586776,9575,-1
0.27999999999999997,9,19800,2845,4.529,18330,False,True,False,1914724,276985,0.12637854751702896,0.2391,2391,0.0004182350480970305,9444,-1
0.29999999999999993,0,19800,3015,4.563,29752,False,True,False,2028942,340035,0.14353664049925347,0.2375,2375,0.0004210526315789474,9384,-1
0.29999999999999993,1,19800,2989,4.5578,37582,False,True,False,1999446,289481,0.1264701757635783,0.2394,2394,0.0004177109440267335,9465,-1
0.29999999999999993,2,19800,2983,4.5566,14869,False,True,False,1992684,287167,0.12595867010607273,0.2395,2395,0.0004175365344467641,9465,-1
0.29999999999999993,3,19800,2955,4.551,16808,False,True,False,1961607,306299,0.13505806678054558,0.2414,2414,0.00041425020712510354,9540,-1
0.29999999999999993,4,19800,3047,4.5694,21026,False,True,False,2005236,259995,0.11477637380028792,0.2367,2367,0.0004224757076468103,9361,-1
0.29999999999999993,5,19800,2961,4.5522,15250,False,True,False,1997359,277152,0.12185124626787912,0.2419,2419,0.00041339396444811904,9560,-1
0.29999999999999993,6,19800,3015,4.563,19887,False,True,False,1971587,318923,0.1392366765480177,0.2352,2352,0.00042517006802721087,9297,-1
0.29999999999999993,7,19800,2967,4.5534,17764,False,True,False,1944142,293683,0.13123590986784042,0.2393,2393,0.0004178854993731718,9451,-1
0.29999999999999993,8,19800,2934,4.5468,22693,False,True,False,2052364,337957,0.14138561306201133,0.2327,2327,0.0004297378599054577,9198,-1
0.29999999999999993,9,19800,2980,4.556,27286,False,True,False,2028489,261416,0.11416019441854575,0.2392,2392,0.0004180602006688963,9454,-1
0.31999999999999995,0,19800,3289,4.6178,14653,False,True,False,1909942,317997,0.1427314661667128,0.2358,2358,0.00042408821034775233,9313,-1
0.31999999999999995,1,19800,3229,4.6058,24650,False,True,False,1954595,307230,0.13583278989311728,0.2367,2367,0.0004224757076468103,9355,-1
0.31999999999999995,2,19800,3195,4.599,17889,False,True,False,2038915,331633,0.13989718832944956,0.2379,2379,0.0004203446826397646,9404,-1
0.31999999999999995,3,19800,3113,4.5826,22011,False,True,False,1990519,299898,0.1309359823997115,0.2409,2409,0.00041511000415110004,9524,-1
0.31999999999999995,4,19800,3207,4.6014,17649,False,True,False,1995427,321246,0.1386669590399681,0.2347,2347,0.00042607584149978694,9273,-1
0.31999999999999995,5,19800,3160,4.592,29915,False,True,False,2022285,308477,0.132350278578422,0.2347,2347,0.00042607584149978694,9272,-1
0.31999999999999995,6,19800,3242,4.6084,19380,False,True,False,1955228,330621,0.14463816288827477,0.239,2390,0.00041841004184100416,9445,-1
0.31999999999999995,7,19800,3192,4.5984,17666,False,True,False,1987606,292813,0.12840315748991743,0.2393,2393,0.0004178854993731718,9462,-1
0.31999999999999995,8,19800,3164,4.5928,20477,False,True,False,1983140,327419,0.14170553532716543,0.24,2400,0.0004166666666666667,9489,-1
0.31999999999999995,9,19800,3188,4.5976,30107,False,True,False,2031178,322280,0.13693892136592198,0.2388,2388,0.0004187604690117253,9438,-1
0.33999999999999997,0,19800,3389,4.6378,20480,False,True,False,1960932,312552,0.1374771056229118,0.237,2370,0.0004219409282700422,9357,-1
0.33999999999999997,1,19800,3494,4.6588,16031,False,True,False,1958381,337650,0.14705811898881158,0.2329,2329,0.00042936882782310007,9207,-1
0.33999999999999997,2,19800,3331,4.6262,27056,False,True,False,1982267,300895,0.1317887210806767,0.2355,2355,0.0004246284501061571,9309,-1
0.33999999999999997,3,19800,3480,4.656,17849,False,True,False,1884833,384699,0.16950587169513362,0.2383,2383,0.000419639110365086,9410,-1
0.33999999999999997,4,19800,3390,4.638,22511,False,True,False,1885020,434867,0.18745180260935124,0.2392,2392,0.0004180602006688963,9455,-1
0.33999999999999997,5,19800,3376,4.6352,16855,False,True,False,2040361,312460,0.13280228287659793,0.2331,2331,0.000429000429000429,9214,-1
0.33999999999999997,6,19800,3375,4.635,20359,False,True,False,1937326,323268,0.14300135274180148,0.2399,2399,0.00041684035014589413,9498,-1
0.33999999999999997,7,19800,3387,4.6374,19592,False,True,False,1898876,312499,0.14131434062517664,0.2435,2435,0.0004106776180698152,9627,-1
0.33999999999999997,8,19800,3413,4.6426,23600,False,True,False,2045850,286011,0.12265353723914076,0.2352,2352,0.00042517006802721087,9294,-1
0.33999999999999997,9,19800,3447,4.6494,15615,False,True,False,1920880,319793,0.14272185187218306,0.2367,2367,0.0004224757076468103,9356,-1
0.35999999999999993,0,19800,3621,4.6842,30082,False,True,False,1881837,319791,0.14525205893093657,0.2383,2383,0.000419639110365086,9423,-1
0.35999999999999993,1,19800,3584,4.6768,16659,False,True,False,1887339,381517,0.1681539066384116,0.2356,2356,0.00042444821731748726,9317,-1
0.35999999999999993,2,19800,3621,4.6842,24251,False,True,False,1992452,405015,0.16893454633577856,0.2364,2364,0.00042301184433164127,9345,-1
0.35999999999999993,3,19800,3646,4.6892,21667,False,True,False,1987638,368527,0.15640967419514337,0.2382,2382,0.00041981528127623844,9419,-1
0.35999999999999993,4,19800,3639,4.6878,36173,False,True,False,2013122,345456,0.14646791414148694,0.2313,2313,0.00043233895373973193,9141,-1
0.35999999999999993,5,19800,3623,4.6846,20088,False,True,False,1927450,380906,0.16501180927032053,0.2388,2388,0.0004187604690117253,9443,-1
0.35999999999999993,6,19800,3650,4.69,51088,False,True,False,2040012,374084,0.15495821210092722,0.2375,2375,0.0004210526315789474,9378,-1
0.35999999999999993,7,19800,3601,4.6802,27765,False,True,False,2025727,408591,0.1678461893639204,0.2342,2342,0.0004269854824935952,9260,-1
0.35999999999999993,8,19800,3654,4.6908,68557,False,True,False,1956043,394879,0.16796771649591097,0.2345,2345,0.00042643923240938164,9264,-1
0.35999999999999993,9,19800,3592,4.6784,24211,False,True,False,1946135,333134,0.14615826389952216,0.2322,2322,0.0004306632213608958,9180,-1
0.37999999999999995,0,19800,3742,4.7084,30117,False,True,False,2058471,400714,0.16294585401260986,0.2299,2299,0.00043497172683775554,9094,-1
0.37999999999999995,1,19800,3829,4.7258,32722,False,True,False,1999445,407111,0.1691674741830234,0.2326,2326,0.0004299226139294927,9194,-1
0.37999999999999995,2,19800,3769,4.7138,27631,False,True,False,1983323,370151,0.15727855927025325,0.2315,2315,0.00043196544276457883,9153,-1
0.37999999999999995,3,19800,3783,4.7166,19133,False,True,False,2007670,408101,0.16893198900061304,0.229,2290,0.0004366812227074236,9045,-1
0.37999999999999995,4,19800,3779,4.7158,22198,False,True,False,1989131,353105,0.15075551737741202,0.2341,2341,0.00042716787697565144,9249,-1
0.37999999999999995,5,19800,3803,4.7206,16341,False,True,False,1968878,376392,0.16048983699105007,0.2331,2331,0.000429000429000429,9218,-1
0.37999999999999995,6,19800,3758,4.7116,24006,False,True,False,1962835,395732,0.16778493042597475,0.2308,2308,0.0004332755632582322,9125,-1
0.37999999999999995,7,19800,3816,4.7232,29402,False,True,False,2075171,391158,0.15859927852285724,0.2306,2306,0.0004336513443191674,9108,-1
0.37999999999999995,8,19800,3694,4.6988,35945,False,True,False,2025272,379368,0.1577649876904651,0.2356,2356,0.00042444821731748726,9313,-1
0.37999999999999995,9,19800,3745,4.709,16563,False,True,False,2125458,357435,0.143959083214621,0.2307,2307,0.00043346337234503684,9111,-1
0.39999999999999997,0,19800,3965,4.753,18786,False,True,False,1936918,449697,0.18842460975063008,0.2316,2316,0.0004317789291882556,9158,-1
0.39999999999999997,1,19800,3997,4.7594,18491,False,True,False,1972048,359316,0.15412265094596983,0.2366,2366,0.00042265426880811494,9359,-1
0.39999999999999997,2,19800,4013,4.7626,21462,False,True,False,1939530,371437,0.16072795500757908,0.2341,2341,0.00042716787697565144,9255,-1
0.39999999999999997,3,19800,4025,4.765,21901,False,True,False,1939908,442419,0.18570876290282567,0.2311,2311,0.00043271311120726956,9134,-1
0.39999999999999997,4,19800,4009,4.7618,30137,False,True,False,2022411,375871,0.15672510572151233,0.2305,2305,0.0004338394793926247,9107,-1
0.39999999999999997,5,19800,4052,4.7704,24412,False,True,False,1935260,371765,0.16114476436102773,0.2342,2342,0.0004269854824935952,9252,-1
0.39999999999999997,6,19800,3962,4.7524,16268,False,True,False,1913175,383425,0.16695332230253418,0.231,2310,0.0004329004329004329,9130,-1
0.39999999999999997,7,19800,3966,4.7532,15487,False,True,False,1897419,377018,0.16576321964512536,0.235,2350,0.000425531914893617,9290,-1
0.39999999999999997,8,19800,3958,4.7516,19536,False,True,False,1971519,391217,0.16557795708026626,0.2305,2305,0.0004338394793926247,9111,-1
0.39999999999999997,9,19800,3986,4.7572,50325,False,True,False,2077576,438902,0.1744112207617154,0.2288,2288,0.00043706293706293706,9039,-1
0.41999999999999993,0,19800,4213,4.8026,25253,False,True,False,1980875,395458,0.16641522884208568,0.2361,2361,0.00042354934349851756,9335,-1
0.41999999999999993,1,19800,4203,4.8006,34885,False,True,False,1933730,424032,0.17984512431704303,0.2319,2319,0.00043122035360068997,9169,-1
0.41999999999999993,2,19800,4276,4.8152,29073,False,True,False,2003247,399810,0.16637557910611359,0.2321,2321,0.00043084877208099956,9181,-1
0.41999999999999993,3,19800,4190,4.798,25435,False,True,False,2070003,381892,0.1557538149064295,0.2292,2292,0.0004363001745200698,9061,-1
